% nans,Attribute_name,Check,Num of nans,Reason,Record_id,Total_val,Unnamed: 2,Unnamed: 9,check,max_val,mean,min_val,num of dist_val,reason,sample_1,sample_2,sample_3,sample_4,sample_5,std_dev,y_Arun,y_act,y_pred
,headline_text,,33,c,40,761700,,,,0.0,0.0,0.0,694066,,New Report on Military Human Enhancements Tackles Ethical Dilemmas,Sale of Ismeca Semiconductor completed,U.S. Census Bureau Daily Feature for January 1,Oilfieldfinder Inc. is Drilling for Oil in West Texas; and the Oil Samples Are 98% Pure Crude,US Benghazi 'failures' - report,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,headline_text,,2,c,41,790855,,,,0.0,0.0,0.0,731474,,80% of World Leaders now on Twitter,North Korea celebrates New Year with fireworks,U.S. Census Bureau Daily Feature for January 1,TABLE-Indian banks' refinancing with RBI rises to 478.08 bln rupees-cbank,China house prices show signs of stabilising -surveys,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,headline_text,,1,c,42,807482,,,,0.0,0.0,0.0,736326,,Delta to Exhibit Latest Technology Innovations for a Smart; Green Lifestyle at CES 2015<2308.TW>,Funds positive on UAE; Egypt stocks in era of cheap oil-survey,U.S. Census Bureau Daily Feature for December 31,U.S. Median Home Price in November Increases 15 Percent From a Year Ago; Distressed Home Price Reaches Highest Level Since December 2009,Public scorn greets LG and Samsung's storm in a washing drum,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,headline_text,,8,c,43,732110,,,,0.0,0.0,0.0,407454,,Shanghai stocks poised to end 2015 up nearly 10 pct; beating Wall Street,RPT-U.S. grain prices soar as floods shut waterways; threaten crops,U.S. grain prices soar as floods shut waterways; threaten crops,Indonesia c.bank tells banks to create counter-cyclical capital buffers,China funds increase equity allocations as confidence slowly mends - Reuters poll,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,headline_text,,0,c,44,799921,,,,0.0,0.0,0.0,447822,,China's brokerages told to manage reputation risk as scandals spread,Dell; Sharks shut out Flyers,Soccer-Conte hails resilient Chelsea after two-goal scare by Stoke,Harden; Harrell ignite Rockets in rout of Clippers,UPDATE 3-Code associated with Russia hacking found on Vermont utility computer,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,URL,,0,c,48,73861,,,,0.0,0.0,0.0,73861,,/homebrew/recipe/view/1633/vanilla-cream-ale,/homebrew/recipe/view/16367/southern-tier-pumking-clone,/homebrew/recipe/view/5920/zombie-dust-clone-extract,/homebrew/recipe/view/5916/zombie-dust-clone-all-grain,/homebrew/recipe/view/89534/bakke-brygg-belgisk-blonde-50-l,0.0,Usable with extraction,Usable with extraction,Unusable
,EVENT_DATE,,0,d,50,165808,,,,0.0,0.0,0.0,7639,,18/04/01,19/04/01,20/04/01,21/04/01,22/04/01,0.0,Usable with extraction,Usable with extraction,Unusable
,NOTES,,10227,c,50,165808,,,,0.0,0.0,0.0,126318,,A Berber student was shot while in police custody at a police station in Beni Douala. He later died on Apr.21.,"Riots were reported in numerous villages in Kabylie, resulting in dozens wounded in clashes between protesters and police and significant material damage.",Students protested in the Amizour area. At least 3 were later arrested for allegedly insulting gendarmes.,"Rioters threw molotov cocktails, rocks and burning tires at gendarmerie stations in Beni Douala, El-Kseur and Amizour.","Protesters attacked a gendarmerie detachment with rocks and set fire to two gendarmerie vehicle as well as the Daira, registry office and court buildings.",0.0,Usable with extraction,Usable with extraction,Usable with extraction
,SOURCE,,173,c,50,165808,,,,0.0,0.0,0.0,11908,,Associated Press Online,Kabylie report,Crisis Group,Associated Press International,Associated Press International; Kabylie report,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,age_upon_outcome,,0,c,51,29421,,,,0.0,0.0,0.0,45,,2 weeks,1 month,3 months,1 year,3 weeks,0.0,Usable with extraction,Usable with extraction,Context_specific
,date_of_birth,,0,d,51,29421,,,,0.0,0.0,0.0,4080,,2014-07-07 00:00:00,16/06/14 0:00,26/03/14 0:00,27/03/13 0:00,16/12/13 0:00,0.0,Usable with extraction,Usable with extraction,Unusable
,datetime,,0,d,51,29421,,,,0.0,0.0,0.0,21927,,22/07/14 16:04,14/08/14 18:45,29/06/14 17:45,28/03/14 14:55,2014-09-01 19:29:00,0.0,Usable with extraction,Usable with extraction,Unusable
,monthyear,,0,d,51,29421,,,,0.0,0.0,0.0,21927,,2014-07-22T16:04:00,2014-08-14T18:45:00,2014-06-29T17:45:00,2014-03-28T14:55:00,2014-01-09T19:29:00,0.0,Usable with extraction,Usable with extraction,Unusable
,age_group,,0,c,51,29421,,,,0.0,0.0,0.0,10,,"(-0.022, 2.2]","(2.2, 4.4]","(6.6, 8.8]","(4.4, 6.6]","(8.8, 11.0]",0.0,Usable with extraction,Usable with extraction,Usable directly categorical
,dob_monthyear,,0,d,51,29421,,,,0.0,0.0,0.0,53,,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-06-01 00:00:00,2014-03-01 00:00:00,2014-01-01 00:00:00,0.0,Usable with extraction,Usable with extraction,Usable directly categorical
,age_upon_outcome,,8,c,52,78256,,,,0.0,0.0,0.0,46,,2 weeks,1 year,9 years,5 months,4 months,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,date_of_birth,,0,c,52,78256,,,,0.0,0.0,0.0,5869,,2014-07-07T00:00:00,2012-11-06T00:00:00,2013-03-31T00:00:00,2005-06-02T00:00:00,2014-01-07T00:00:00,0.0,Usable with extraction,Usable with extraction,Unusable
,datetime,,0,c,52,78256,,,,0.0,0.0,0.0,64361,,2014-07-22T16:04:00,2013-11-07T11:47:00,2014-06-03T14:20:00,2014-06-15T15:50:00,2014-07-07T14:04:00,0.0,Usable with extraction,Usable with extraction,Unusable
,monthyear,,0,c,52,78256,,,,0.0,0.0,0.0,64361,,2014-07-22T16:04:00,2013-11-07T11:47:00,2014-06-03T14:20:00,2014-06-15T15:50:00,2014-07-07T14:04:00,0.0,Usable with extraction,Usable with extraction,Unusable
,title,,0,c,53,50000,,,,0.0,0.0,0.0,49920,,House Republicans Fret About Winning Their Health Care Suit - The New York Times,Rift Between Officers and Residents as Killings Persist in South Bronx - The New York Times,"Tyrus Wong, Íï¢ÍâÍ_ÍâÍöBambiÍï¢ÍâÍ_Íâ_ Artist Thwarted by Racial Bias, Dies at 106 - The New York Times","Among Deaths in 2016, a Heavy Toll in Pop Music - The New York Times",Kim Jong-un Says North Korea Is Preparing to Test Long-Range Missile - The New York Times,0.0,Usable with extraction,Usable with extraction,Usable with extraction
,date,,0,c,53,50000,,,,0.0,0.0,0.0,983,,31/12/16,19/06/17,2017-06-01 00:00:00,2017-10-04 00:00:00,2017-02-01 00:00:00,0.0,Usable with extraction,Usable with extraction,Usable directly categorical
