Model,Params,Feats,Train,Validation,Test,Precision
random_forest,"{'n_estimator': '25', 'max_depth': '50'}",X_name,0.9195627041970345,0.7938251804330393,0.7743119266055046,"{'Datetime': 0.84, 'Sentence': 0.8125, 'Custom Object': 0.7076923076923077, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '25', 'max_depth': '25'}","X_stats, X_name",0.9479232638016252,0.8217054263565892,0.8275229357798166,"{'Datetime': 0.8387096774193549, 'Sentence': 0.7222222222222222, 'Custom Object': 0.7678571428571429, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '5', 'max_depth': '50'}",X_sample1,0.8374114099019854,0.7290831328521785,0.781651376146789,"{'Datetime': 0.8846153846153846, 'Sentence': 0.9333333333333333, 'Custom Object': 0.7538461538461538, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '100', 'max_depth': '50'}","X_name, X_sample1",0.920723799949736,0.789361133386795,0.8018348623853212,"{'Datetime': 0.9166666666666666, 'Sentence': 0.875, 'Custom Object': 0.7272727272727273, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '50', 'max_depth': '100'}","X_stats, X_sample1",0.9311334506157326,0.7870622828120823,0.7779816513761468,"{'Datetime': 0.8387096774193549, 'Sentence': 0.9333333333333333, 'Custom Object': 0.7540983606557377, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
random_forest,"{'n_estimator': '50', 'max_depth': '50'}","X_stats, X_name, X_sample1",0.9479014827846192,0.8102646351242984,0.8073394495412846,"{'Datetime': 0.96, 'Sentence': 0.8888888888888888, 'Custom Object': 0.7619047619047619, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '1'},"X_stats, X_name, X_sample1, X_sample2",0.9438669682499792,0.8055867415129645,0.8128440366972477,"{'Datetime': 0.96, 'Sentence': 0.8666666666666667, 'Custom Object': 0.7538461538461538, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '10000'},X_stats,0.677111502052442,0.6713178294573644,0.6605504587155963,"{'Datetime': 0.6111111111111112, 'Sentence': 0.8888888888888888, 'Custom Object': 0.625, 'URL': 0.0, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '1'},X_name,0.9201357124905756,0.7939053728949479,0.7908256880733945,"{'Datetime': 0.8888888888888888, 'Sentence': 0.875, 'Custom Object': 0.7666666666666667, 'URL': 0.6666666666666666, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '1'},"X_stats, X_name",0.9311267487643462,0.789227479283614,0.8,"{'Datetime': 0.7666666666666667, 'Sentence': 0.8235294117647058, 'Custom Object': 0.8070175438596491, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '10'},X_sample1,0.8778989695903494,0.7431435445068164,0.8128440366972477,"{'Datetime': 0.9230769230769231, 'Sentence': 0.9411764705882353, 'Custom Object': 0.7777777777777778, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '1'},"X_name, X_sample1",0.9380732177263968,0.8102646351242984,0.8311926605504587,"{'Datetime': 0.9259259259259259, 'Sentence': 0.8823529411764706, 'Custom Object': 0.7741935483870968, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '100000'},"X_stats, X_sample1",0.8859931306023288,0.7406308473670141,0.7376146788990826,"{'Datetime': 0.896551724137931, 'Sentence': 0.5833333333333334, 'Custom Object': 0.7441860465116279, 'URL': 0.18181818181818182, 'Numbers': 0.0, 'List': 0.0}"
logistic_regression,{'C': '1'},"X_stats, X_name, X_sample1",0.9415481276702689,0.8033146217588879,0.8220183486238533,"{'Datetime': 0.96, 'Sentence': 0.8421052631578947, 'Custom Object': 0.7741935483870968, 'URL': 1.0, 'Numbers': 0.0, 'List': 0.0}"
